Feature,Importance
Humidity3pm,0.20174136852740818
Sunshine,0.07736092121240554
Pressure3pm,0.0739461068391271
Rainfall,0.06995739751435398
Pressure9am,0.06570739396911714
WindGustSpeed,0.0653383817323629
Humidity9am,0.060597544891111625
MinimumTemperature,0.05446929569477158
Temperature3pm,0.05274219543417397
MaximumTemperature,0.05212466705088378
Temperature9am,0.051552228835662364
Cloud3pm,0.04312995260004815
WindSpeed3pm,0.03852901763825875
WindSpeed9am,0.0366569062572411
Evaporation,0.030375574223940556
Cloud9am,0.025771047579133236
